TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureAvgInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches
74,60,45,67,49,43,93,75,57,29.68,10,7,2,20,4,31,0.46
56,48,39,43,36,28,93,68,43,30.13,10,10,5,16,6,25,0
58,45,32,31,27,23,76,52,27,30.49,10,10,10,8,3,12,0
61,46,31,36,28,21,89,56,22,30.45,10,10,7,12,4,20,0
58,50,41,44,40,36,86,71,56,30.33,10,10,7,10,2,16,0.001
57,48,39,39,36,33,79,63,47,30.4,10,9,7,12,3,17,0
60,53,45,41,39,37,83,65,47,30.39,10,9,7,7,1,11,0.001
62,51,40,43,39,33,92,64,36,30.17,10,10,7,10,2,14,0.001
64,50,36,49,41,28,92,76,60,30.1,10,10,4,17,5,24,0
44,40,35,31,26,21,75,60,45,30.33,10,10,10,13,5,21,0
55,46,36,31,28,23,76,54,32,30.39,10,10,10,8,1,12,0
69,54,39,51,42,30,83,68,52,30.11,10,10,8,13,4,22,0
55,44,33,39,26,19,83,55,26,30.37,10,10,9,21,8,31,0
58,43,28,37,22,18,75,49,22,30.35,10,10,10,14,4,21,0
71,57,42,55,48,38,89,68,47,29.95,10,10,8,16,7,28,0
59,47,34,54,32,15,87,59,31,30.08,10,10,4,21,10,34,0
36,29,22,15,8,2,50,38,26,30.68,10,10,10,17,7,27,0
48,35,22,29,11,4,68,43,17,30.52,10,10,10,13,5,22,0
53,47,40,51,45,30,93,75,57,30.2,10,2,1,12,1,18,0.16
70,62,53,60,55,50,93,80,66,30.11,10,4,0,12,3,19,0
72,65,57,64,61,54,93,81,68,29.87,10,8,1,13,6,21,0.1
75,62,48,54,37,20,93,53,13,30.06,10,9,5,12,3,19,0
67,57,46,58,47,33,84,68,52,30.01,10,10,10,15,4,24,0.01
71,57,43,60,36,17,87,51,14,30.01,10,9,7,17,7,29,0
76,57,37,31,25,20,70,41,12,30.13,10,10,10,16,5,29,0
64,52,40,29,23,16,49,35,21,30.33,10,10,10,14,4,21,0
72,56,40,31,27,23,55,38,20,30.13,10,10,10,14,4,20,0
64,54,43,31,20,15,45,31,17,30.29,10,10,9,14,5,21,0
70,54,37,41,33,23,59,45,31,30.19,10,10,10,12,2,19,0
72,59,45,41,30,18,64,39,14,30.22,10,10,10,9,3,16,0
82,64,46,51,36,23,71,44,17,30,10,10,10,16,5,26,0
63,51,38,28,23,19,59,39,19,30.31,10,10,10,15,6,25,0
70,54,37,39,27,24,70,45,19,30.11,10,10,10,12,4,18,0
56,42,27,42,29,20,78,64,50,30.47,10,8,2,20,9,31,0.06
40,33,26,22,17,10,81,60,39,30.63,10,9,3,16,5,24,0.05
70,48,26,38,27,22,85,53,20,30.19,10,10,8,8,1,14,0
76,60,43,45,39,33,76,52,27,29.84,10,10,10,12,3,20,0
60,47,34,43,23,5,66,44,21,30.09,10,10,10,21,9,32,0.02
39,33,27,19,14,7,69,48,27,30.4,10,10,10,15,6,23,0.05
49,38,27,19,13,9,63,42,21,30.41,10,10,10,15,5,23,0
65,48,31,51,36,20,80,64,48,30.06,10,10,10,15,7,27,0
80,68,55,59,54,51,86,64,42,29.87,10,10,9,14,9,25,0
76,66,55,62,59,41,81,71,60,29.81,10,10,9,14,6,26,0.001
55,45,35,40,33,27,79,69,59,30.09,10,8,4,18,11,29,0.02
46,40,34,38,33,28,82,74,65,30.17,10,6,3,13,6,17,0
64,53,42,45,41,39,89,68,46,29.95,10,6,2,10,2,18,0.15
48,40,31,42,26,16,80,60,39,30.37,10,10,10,16,10,24,0
32,29,26,17,15,13,58,54,49,30.48,10,10,10,15,8,23,0
38,34,29,29,24,17,78,68,58,30.32,10,7,2,8,3,12,0
65,51,37,42,36,29,85,63,40,30.17,10,7,3,14,5,21,0
76,59,41,53,45,38,96,70,44,30.05,10,5,0,13,4,20,0
60,48,35,49,36,30,82,74,66,30.15,10,8,4,15,9,23,0.001
36,35,33,31,29,27,89,80,70,30.24,9,5,1,15,9,23,0.1
57,45,33,34,29,27,75,57,38,30.18,10,9,7,14,5,22,0
69,51,32,38,34,28,85,58,30,30.02,10,10,10,10,4,19,0
86,67,47,48,37,22,86,51,15,29.93,10,10,8,18,6,30,0
76,59,42,52,35,22,64,43,22,30.09,10,10,10,15,5,23,0
76,68,59,61,57,53,90,74,57,30.01,10,5,0,13,5,23,0
81,70,58,62,50,29,87,52,17,30.03,10,8,2,15,5,23,0
